"","chunk_info","Answer","nvotes","sumvotes","ChildID","filename"
"1111_1 0000757465.mp3 35657.19 0","1111_1 0000757465.mp3 35657.19 0","Non-Canonical","4","5","1111_1","0000757465.mp3"
"1111_1 0002801611.mp3 28735.96 1","1111_1 0002801611.mp3 28735.96 1","","2","5","1111_1","0002801611.mp3"
"1111_1 0028693968.mp3 8205.33 2","1111_1 0028693968.mp3 8205.33 2","Non-Canonical","5","5","1111_1","0028693968.mp3"
"1111_1 0030709205.mp3 19658.49 1","1111_1 0030709205.mp3 19658.49 1","Non-Canonical","3","5","1111_1","0030709205.mp3"
"1111_1 0033941546.mp3 20502.65 1","1111_1 0033941546.mp3 20502.65 1","Non-Canonical","5","5","1111_1","0033941546.mp3"
"1111_1 0039804433.mp3 17808.14 0","1111_1 0039804433.mp3 17808.14 0","","2","5","1111_1","0039804433.mp3"
"1111_1 0047748127.mp3 19603.31 1","1111_1 0047748127.mp3 19603.31 1","Non-Canonical","3","5","1111_1","0047748127.mp3"
"1111_1 0049786590.mp3 35455.89 0","1111_1 0049786590.mp3 35455.89 0","Non-Canonical","3","5","1111_1","0049786590.mp3"
"1111_1 0052430251.mp3 29878.11 0","1111_1 0052430251.mp3 29878.11 0","","2","5","1111_1","0052430251.mp3"
"1111_1 0054579957.mp3 8190.91 1","1111_1 0054579957.mp3 8190.91 1","Junk","5","5","1111_1","0054579957.mp3"
"1111_1 0080219711.mp3 35642.68 1","1111_1 0080219711.mp3 35642.68 1","Non-Canonical","3","5","1111_1","0080219711.mp3"
"1111_1 0083360551.mp3 35887.18 1","1111_1 0083360551.mp3 35887.18 1","Non-Canonical","5","5","1111_1","0083360551.mp3"
"1111_1 0084961228.mp3 32379.21 0","1111_1 0084961228.mp3 32379.21 0","Crying","3","5","1111_1","0084961228.mp3"
"1111_1 0093033016.mp3 29921.86 1","1111_1 0093033016.mp3 29921.86 1","Junk","5","5","1111_1","0093033016.mp3"
"1111_1 0093046149.mp3 25393.58 0","1111_1 0093046149.mp3 25393.58 0","Junk","4","5","1111_1","0093046149.mp3"
"1111_1 0105047262.mp3 35598.49 3","1111_1 0105047262.mp3 35598.49 3","Non-Canonical","4","5","1111_1","0105047262.mp3"
"1111_1 0117245283.mp3 22108.28 0","1111_1 0117245283.mp3 22108.28 0","Non-Canonical","3","5","1111_1","0117245283.mp3"
"1111_1 0117746985.mp3 19682.18 1","1111_1 0117746985.mp3 19682.18 1","","2","5","1111_1","0117746985.mp3"
