idx,Answer,Age,ChildID
0262544618,Non-Canonical,53.26,1111_1
8010613424,Junk,53.26,1111_1
5505327337,Non-Canonical,53.26,1111_1
7644943016,Non-Canonical,53.26,1111_1
0256915191,Non-Canonical,53.26,1111_1
0261280428,Non-Canonical,53.26,1111_1
9510030523,Junk,53.26,1111_1
0482407008,Non-Canonical,53.26,1111_1
9335828813,Non-Canonical,53.26,1111_1
4711229651,Non-Canonical,53.26,1111_1
7581747496,Non-Canonical,53.26,1111_1
2999197616,Non-Canonical,53.26,1111_1
3568089658,Non-Canonical,53.26,1111_1
3309967123,Non-Canonical,53.26,1111_1
3008474635,Non-Canonical,53.26,1111_1
5884266059,Non-Canonical,53.26,1111_1
2386334725,Non-Canonical,53.26,1111_1
0297123870,Non-Canonical,53.26,1111_1
5002554731,Non-Canonical,53.26,1111_1
4082860512,Non-Canonical,53.26,1111_1
7028847052,Non-Canonical,53.26,1111_1
0047748127,Non-Canonical,53.26,1111_1
6256765385,Non-Canonical,53.26,1111_1
5544077013,Non-Canonical,53.26,1111_1
9279884301,Non-Canonical,53.26,1111_1
1306603200,Non-Canonical,53.26,1111_1
8410799694,Non-Canonical,53.26,1111_1
4917493188,Non-Canonical,53.26,1111_1
2820852949,Non-Canonical,53.26,1111_1
0030709205,Non-Canonical,53.26,1111_1
2224419668,Non-Canonical,53.26,1111_1
3617357458,Non-Canonical,53.26,1111_1
5612496988,Non-Canonical,53.26,1111_1
3819526749,Non-Canonical,53.26,1111_1
6386046517,Junk,53.26,1111_1
5850817365,Non-Canonical,53.26,1111_1
8349385270,Non-Canonical,53.26,1111_1
4481022026,Non-Canonical,53.26,1111_1
9633026680,Non-Canonical,53.26,1111_1
3949431475,Non-Canonical,53.26,1111_1
5688221106,Non-Canonical,53.26,1111_1
2169593740,Junk,53.26,1111_1
9862177785,Non-Canonical,53.26,1111_1
0864270060,Non-Canonical,53.26,1111_1
2329522407,Crying,53.26,1111_1
0432790961,Non-Canonical,53.26,1111_1
4770746014,Non-Canonical,53.26,1111_1
7972184868,Non-Canonical,53.26,1111_1
3113124174,Non-Canonical,53.26,1111_1
2424719016,Non-Canonical,53.26,1111_1
1618816807,Non-Canonical,53.26,1111_1
9980932955,Non-Canonical,53.26,1111_1
0825974208,Non-Canonical,53.26,1111_1
3536438973,Non-Canonical,53.26,1111_1
3818532809,Non-Canonical,53.26,1111_1
1676188018,Canonical,53.26,1111_1
6619524006,Non-Canonical,53.26,1111_1
4837547834,Non-Canonical,53.26,1111_1
4861587179,Non-Canonical,53.26,1111_1
1741830273,Non-Canonical,53.26,1111_1
4950032265,Non-Canonical,53.26,1111_1
8716411095,Non-Canonical,53.26,1111_1
8104406057,Non-Canonical,53.26,1111_1
7142191225,Non-Canonical,53.26,1111_1
3223827876,Non-Canonical,53.26,1111_1
3704247678,Junk,53.26,1111_1
3946152259,Crying,53.26,1111_1
4318733610,Non-Canonical,53.26,1111_1
5782697950,Non-Canonical,53.26,1111_1
3274302607,Non-Canonical,53.26,1111_1
3563062790,Non-Canonical,53.26,1111_1
6275439950,Non-Canonical,53.26,1111_1
2092658065,Non-Canonical,53.26,1111_1
1556464332,Non-Canonical,53.26,1111_1
1521179601,Non-Canonical,53.26,1111_1
4166170740,Junk,53.26,1111_1
7240278544,Non-Canonical,53.26,1111_1
5336073808,Non-Canonical,53.26,1111_1
3914478843,Non-Canonical,53.26,1111_1
4976626265,Non-Canonical,53.26,1111_1
1920622288,Non-Canonical,53.26,1111_1
5194378305,Non-Canonical,53.26,1111_1
3042922589,Junk,53.26,1111_1
7090643583,Non-Canonical,53.26,1111_1
6077783094,Junk,53.26,1111_1
9001089403,Canonical,53.26,1111_1
9821423687,Non-Canonical,53.26,1111_1
7480156031,Non-Canonical,53.26,1111_1
1307748761,Non-Canonical,53.26,1111_1
6193354759,Junk,53.26,1111_1
6302255220,Non-Canonical,53.26,1111_1
4500456317,Non-Canonical,53.26,1111_1
4629210596,Non-Canonical,53.26,1111_1
9156103190,Non-Canonical,53.26,1111_1
9323390807,Non-Canonical,53.26,1111_1
6966752927,Non-Canonical,53.26,1111_1
4927047817,Non-Canonical,53.26,1111_1
5513700299,Non-Canonical,53.26,1111_1
0128484573,Non-Canonical,53.26,1111_1
8256612438,Non-Canonical,53.26,1111_1
5114953884,Non-Canonical,53.26,1111_1
4157274475,Non-Canonical,53.26,1111_1
0923288868,Laughing,53.26,1111_1
0134233569,Non-Canonical,53.26,1111_1
2597489770,Non-Canonical,53.26,1111_1
0033941546,Non-Canonical,53.26,1111_1
9511286156,Non-Canonical,53.26,1111_1
8880980940,Non-Canonical,53.26,1111_1
6117210522,Non-Canonical,53.26,1111_1
8871507156,Non-Canonical,53.26,1111_1
9041480186,Non-Canonical,53.26,1111_1
9967232075,Non-Canonical,53.26,1111_1
3034829731,Non-Canonical,53.26,1111_1
8934056772,Non-Canonical,53.26,1111_1
0216558473,Non-Canonical,53.26,1111_1
7000561628,Non-Canonical,53.26,1111_1
3672816062,Non-Canonical,53.26,1111_1
6226497493,Non-Canonical,53.26,1111_1
0376903973,Non-Canonical,53.26,1111_1
6940463645,Non-Canonical,53.26,1111_1
4207257610,Non-Canonical,53.26,1111_1
0786552490,Non-Canonical,53.26,1111_1
1919821263,Junk,53.26,1111_1
6498451467,Non-Canonical,53.26,1111_1
1676715025,Non-Canonical,53.26,1111_1
2361390677,Non-Canonical,53.26,1111_1
3862546524,Non-Canonical,53.26,1111_1
6012573297,Non-Canonical,53.26,1111_1
2998568587,Non-Canonical,53.26,1111_1
5713325314,Non-Canonical,53.26,1111_1
5520831962,Canonical,53.26,1111_1
0625736106,Junk,53.26,1111_1
5185809116,Junk,53.26,1111_1
7479390473,Non-Canonical,53.26,1111_1
4784450711,Non-Canonical,53.26,1111_1
4192298066,Junk,53.26,1111_1
1156303919,Non-Canonical,53.26,1111_1
4792079764,Non-Canonical,53.26,1111_1
6450613791,Non-Canonical,53.26,1111_1
0194698200,Non-Canonical,53.26,1111_1
2418727353,Non-Canonical,53.26,1111_1
6829070967,Non-Canonical,53.26,1111_1
1565037454,Non-Canonical,53.26,1111_1
4728459532,Non-Canonical,53.26,1111_1
0813711575,Non-Canonical,53.26,1111_1
8748076651,Non-Canonical,53.26,1111_1
6277430049,Junk,53.26,1111_1
7519551327,Junk,53.26,1111_1
6676441950,Junk,53.26,1111_1
6366045258,Non-Canonical,53.26,1111_1
8878608416,Non-Canonical,53.26,1111_1
7718491528,Non-Canonical,53.26,1111_1
7887295851,Non-Canonical,53.26,1111_1
6145560537,Non-Canonical,53.26,1111_1
8370698160,Non-Canonical,53.26,1111_1
6721330761,Non-Canonical,53.26,1111_1
3224026625,Non-Canonical,53.26,1111_1
8906442015,Non-Canonical,53.26,1111_1
9224759380,Non-Canonical,53.26,1111_1
