idx,AudioData,Answer
0,0039804433.mp3,Junk
1,0039804433.mp3,Crying
2,0039804433.mp3,Junk
3,0039804433.mp3,Laughing
4,0039804433.mp3,Non-Canonical
5,0262544618.mp3,Crying
6,0262544618.mp3,Non-Canonical
7,0262544618.mp3,Non-Canonical
8,8010613424.mp3,Junk
9,8010613424.mp3,Junk
10,8010613424.mp3,Junk
11,9643189529.mp3,Non-Canonical
12,9643189529.mp3,Canonical
13,9643189529.mp3,Non-Canonical
14,9643189529.mp3,Junk
15,9643189529.mp3,Crying
16,5505327337.mp3,Non-Canonical
17,5505327337.mp3,Non-Canonical
18,5505327337.mp3,Junk
19,5505327337.mp3,Non-Canonical
20,5505327337.mp3,Non-Canonical
21,7644943016.mp3,Non-Canonical
22,7644943016.mp3,Non-Canonical
23,0256915191.mp3,Crying
24,0256915191.mp3,Non-Canonical
25,0256915191.mp3,Non-Canonical
26,0256915191.mp3,Non-Canonical
27,0256915191.mp3,Non-Canonical
28,0261280428.mp3,Laughing
29,0261280428.mp3,Non-Canonical
30,0261280428.mp3,Non-Canonical
31,0261280428.mp3,Non-Canonical
32,0261280428.mp3,Non-Canonical
33,6161389662.mp3,Non-Canonical
34,6161389662.mp3,Laughing
35,6161389662.mp3,Junk
36,6161389662.mp3,Non-Canonical
37,9510030523.mp3,Junk
38,9510030523.mp3,Junk
39,0482407008.mp3,Non-Canonical
40,0482407008.mp3,Junk
41,0482407008.mp3,Canonical
42,0482407008.mp3,Non-Canonical
43,0482407008.mp3,Non-Canonical
44,9335828813.mp3,Non-Canonical
45,9335828813.mp3,Non-Canonical
46,4711229651.mp3,Non-Canonical
47,4711229651.mp3,Non-Canonical
48,4711229651.mp3,Canonical
49,7581747496.mp3,Non-Canonical
50,7581747496.mp3,Non-Canonical
51,2999197616.mp3,Non-Canonical
52,2999197616.mp3,Non-Canonical
53,2999197616.mp3,Non-Canonical
54,2999197616.mp3,Non-Canonical
55,2999197616.mp3,Non-Canonical
56,3568089658.mp3,Junk
57,3568089658.mp3,Non-Canonical
58,3568089658.mp3,Laughing
59,3568089658.mp3,Non-Canonical
60,3568089658.mp3,Non-Canonical
61,3309967123.mp3,Non-Canonical
62,3309967123.mp3,Non-Canonical
63,3309967123.mp3,Non-Canonical
64,3008474635.mp3,Non-Canonical
65,3008474635.mp3,Crying
66,5850522925.mp3,Laughing
67,5850522925.mp3,Non-Canonical
68,5850522925.mp3,Canonical
69,5850522925.mp3,Non-Canonical
70,5884266059.mp3,Non-Canonical
71,5884266059.mp3,Non-Canonical
72,5884266059.mp3,Non-Canonical
73,5884266059.mp3,Non-Canonical
74,2386334725.mp3,Non-Canonical
75,2386334725.mp3,Non-Canonical
76,2386334725.mp3,Non-Canonical
77,2386334725.mp3,Non-Canonical
78,2386334725.mp3,Canonical
79,0297123870.mp3,Junk
80,0297123870.mp3,Non-Canonical
81,0297123870.mp3,Non-Canonical
82,0297123870.mp3,Non-Canonical
83,5002554731.mp3,Non-Canonical
84,5002554731.mp3,Non-Canonical
85,5002554731.mp3,Non-Canonical
86,4082860512.mp3,Junk
87,4082860512.mp3,Non-Canonical
88,4082860512.mp3,Junk
89,4082860512.mp3,Non-Canonical
90,4082860512.mp3,Non-Canonical
91,9572840818.mp3,Crying
92,9572840818.mp3,Junk
93,9572840818.mp3,Non-Canonical
94,7028847052.mp3,Non-Canonical
95,7028847052.mp3,Non-Canonical
96,7028847052.mp3,Non-Canonical
97,0047748127.mp3,Laughing
98,0047748127.mp3,Non-Canonical
99,0047748127.mp3,Non-Canonical
100,9695553493.mp3,Junk
101,9695553493.mp3,Crying
102,9695553493.mp3,Non-Canonical
103,9695553493.mp3,Canonical
104,9695553493.mp3,Non-Canonical
105,6256765385.mp3,Non-Canonical
106,6256765385.mp3,Non-Canonical
107,5544077013.mp3,Canonical
108,5544077013.mp3,Non-Canonical
109,5544077013.mp3,Non-Canonical
110,5544077013.mp3,Non-Canonical
111,9279884301.mp3,Non-Canonical
112,9279884301.mp3,Non-Canonical
113,9279884301.mp3,Canonical
114,9279884301.mp3,Non-Canonical
115,9279884301.mp3,Junk
116,1306603200.mp3,Non-Canonical
117,1306603200.mp3,Non-Canonical
118,1306603200.mp3,Non-Canonical
119,1306603200.mp3,Non-Canonical
120,8410799694.mp3,Non-Canonical
121,8410799694.mp3,Canonical
122,4917493188.mp3,Non-Canonical
123,4917493188.mp3,Canonical
124,4917493188.mp3,Non-Canonical
125,4917493188.mp3,Canonical
126,2820852949.mp3,Crying
127,2820852949.mp3,Non-Canonical
128,2820852949.mp3,Crying
129,2820852949.mp3,Non-Canonical
130,2820852949.mp3,Non-Canonical
131,0030709205.mp3,Canonical
132,0030709205.mp3,Non-Canonical
133,2224419668.mp3,Non-Canonical
134,2224419668.mp3,Non-Canonical
135,2224419668.mp3,Junk
136,3617357458.mp3,Non-Canonical
137,3617357458.mp3,Non-Canonical
138,3617357458.mp3,Junk
139,5612496988.mp3,Non-Canonical
140,5612496988.mp3,Crying
141,5612496988.mp3,Non-Canonical
142,5612496988.mp3,Non-Canonical
143,5612496988.mp3,Non-Canonical
144,3819526749.mp3,Non-Canonical
145,3819526749.mp3,Non-Canonical
146,6386046517.mp3,Junk
147,6386046517.mp3,Junk
148,6386046517.mp3,Junk
149,5850817365.mp3,Non-Canonical
150,5850817365.mp3,Non-Canonical
151,5850817365.mp3,Crying
152,1200505053.mp3,Non-Canonical
153,1200505053.mp3,Canonical
154,1200505053.mp3,Non-Canonical
155,1200505053.mp3,Canonical
156,8349385270.mp3,Non-Canonical
157,8349385270.mp3,Non-Canonical
158,8349385270.mp3,Non-Canonical
159,8349385270.mp3,Non-Canonical
160,8349385270.mp3,Non-Canonical
161,9904562275.mp3,Non-Canonical
162,9904562275.mp3,Canonical
163,4481022026.mp3,Non-Canonical
164,4481022026.mp3,Non-Canonical
165,4481022026.mp3,Non-Canonical
166,2154031602.mp3,Crying
167,2154031602.mp3,Canonical
168,2154031602.mp3,Non-Canonical
169,2154031602.mp3,Non-Canonical
170,2154031602.mp3,Crying
171,9633026680.mp3,Non-Canonical
172,9633026680.mp3,Non-Canonical
173,9633026680.mp3,Non-Canonical
174,0183182314.mp3,Canonical
175,0183182314.mp3,Crying
176,0117746985.mp3,Non-Canonical
177,0117746985.mp3,Laughing
178,3949431475.mp3,Non-Canonical
179,3949431475.mp3,Non-Canonical
180,3949431475.mp3,Non-Canonical
181,3949431475.mp3,Non-Canonical
182,3949431475.mp3,Non-Canonical
183,5688221106.mp3,Non-Canonical
184,5688221106.mp3,Crying
185,5688221106.mp3,Non-Canonical
186,5688221106.mp3,Non-Canonical
187,5688221106.mp3,Canonical
188,2169593740.mp3,Junk
189,2169593740.mp3,Junk
190,2169593740.mp3,Junk
191,2169593740.mp3,Junk
192,2169593740.mp3,Non-Canonical
193,9862177785.mp3,Junk
194,9862177785.mp3,Non-Canonical
195,9862177785.mp3,Junk
196,9862177785.mp3,Non-Canonical
197,0864270060.mp3,Non-Canonical
198,0864270060.mp3,Crying
199,0864270060.mp3,Crying
200,5302702852.mp3,Non-Canonical
201,5302702852.mp3,Non-Canonical
