"startTime","itsId","endTime","LENA_type","segmentId_DB","ChildID","Age_months_actual","filename","Endtime","Major_Choice","Num_Agreement"
326.44,"20180206_110905_009463",327.17,"Can/non-can","14673.DB2","2931_1",13.4,"20180206_110905_009463",327.17,"Don't mark",3
359.96,"20180206_110905_009463",360.56,"Can/non-can","14498.DB2","2931_1",13.4,"20180206_110905_009463",360.56,"Non-canonical syllables",3
382.96,"20180206_110905_009463",383.78,"Can/non-can","14379.DB2","2931_1",13.4,"20180206_110905_009463",383.78,"Canonical syllables",3
389.02,"20180206_110905_009463",390.35,"Can/non-can","14633.DB2","2931_1",13.4,"20180206_110905_009463",390.35,"Canonical syllables",2
455.48,"20180206_110905_009463",456.6,"Can/non-can","14624.DB2","2931_1",13.4,"20180206_110905_009463",456.6,"Non-canonical syllables",3
469.48,"20180206_110905_009463",470.95,"Can/non-can","14341.DB2","2931_1",13.4,"20180206_110905_009463",470.95,"Don't mark",3
476.88,"20180206_110905_009463",478.27,"Can/non-can","14566.DB2","2931_1",13.4,"20180206_110905_009463",478.27,"Don't mark",3
483.79,"20180206_110905_009463",484.64,"Can/non-can","14401.DB2","2931_1",13.4,"20180206_110905_009463",484.64,"None",0
490.94,"20180206_110905_009463",491.94,"Crying","14381.DB2","2931_1",13.4,"20180206_110905_009463",491.94,"Don't mark",3
491.94,"20180206_110905_009463",492.95,"Can/non-can","14548.DB2","2931_1",13.4,"20180206_110905_009463",492.95,"Don't mark",3
504.93,"20180206_110905_009463",505.93,"Can/non-can","14645.DB2","2931_1",13.4,"20180206_110905_009463",505.93,"Don't mark",3
525.9,"20180206_110905_009463",526.77,"Laughing","14674.DB2","2931_1",13.4,"20180206_110905_009463",526.77,"Non-canonical syllables",3
535.81,"20180206_110905_009463",536.62,"Can/non-can","14445.DB2","2931_1",13.4,"20180206_110905_009463",536.62,"Don't mark",3
540.65,"20180206_110905_009463",541.89,"Can/non-can","14419.DB2","2931_1",13.4,"20180206_110905_009463",541.89,"Canonical syllables",2
543.71,"20180206_110905_009463",544.71,"Can/non-can","14322.DB2","2931_1",13.4,"20180206_110905_009463",544.71,"Canonical syllables",2
544.71,"20180206_110905_009463",545.41,"Can/non-can","14518.DB2","2931_1",13.4,"20180206_110905_009463",545.41,"Canonical syllables",3
553.26,"20180206_110905_009463",553.89,"Can/non-can","14370.DB2","2931_1",13.4,"20180206_110905_009463",553.89,"Non-canonical syllables",3
