idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
0,14673.DB2,2931_1,13.4,20180206_110905_009463,326.44,327.17,Don't mark,3,Non-Canonical
1,14498.DB2,2931_1,13.4,20180206_110905_009463,359.96,360.56,Non-canonical syllables,3,Non-Canonical
2,14379.DB2,2931_1,13.4,20180206_110905_009463,382.96,383.78,Canonical syllables,3,Canonical
3,14633.DB2,2931_1,13.4,20180206_110905_009463,389.02,390.35,Canonical syllables,2,Canonical
4,14624.DB2,2931_1,13.4,20180206_110905_009463,455.48,456.6,Non-canonical syllables,3,Non-Canonical
5,14341.DB2,2931_1,13.4,20180206_110905_009463,469.48,470.95,Don't mark,3,Junk
6,14566.DB2,2931_1,13.4,20180206_110905_009463,476.88,478.27,Don't mark,3,Junk
7,14401.DB2,2931_1,13.4,20180206_110905_009463,483.79,484.64,None,0,Non-Canonical
8,14381.DB2,2931_1,13.4,20180206_110905_009463,490.94,491.94,Don't mark,3,Junk
9,14548.DB2,2931_1,13.4,20180206_110905_009463,491.94,492.95,Don't mark,3,Non-Canonical
10,14645.DB2,2931_1,13.4,20180206_110905_009463,504.93,505.93,Don't mark,3,Non-Canonical
11,14674.DB2,2931_1,13.4,20180206_110905_009463,525.9,526.77,Non-canonical syllables,3,Non-Canonical
12,14445.DB2,2931_1,13.4,20180206_110905_009463,535.81,536.62,Don't mark,3,Non-Canonical
13,14419.DB2,2931_1,13.4,20180206_110905_009463,540.65,541.89,Canonical syllables,2,Non-Canonical
14,14322.DB2,2931_1,13.4,20180206_110905_009463,543.71,544.71,Canonical syllables,2,Canonical
15,14518.DB2,2931_1,13.4,20180206_110905_009463,544.71,545.41,Canonical syllables,3,Canonical
16,14370.DB2,2931_1,13.4,20180206_110905_009463,553.26,553.89,Non-canonical syllables,3,Non-Canonical
17,14384.DB2,2931_1,13.4,20180206_110905_009463,629.12,629.89,Canonical syllables,3,Canonical
18,14620.DB2,2931_1,13.4,20180206_110905_009463,644.78,645.38,Non-canonical syllables,3,Junk
19,14405.DB2,2931_1,13.4,20180206_110905_009463,697.19,697.85,Don't mark,3,Junk
20,14568.DB2,2931_1,13.4,20180206_110905_009463,728.59,729.49,Canonical syllables,2,Canonical
21,14491.DB2,2931_1,13.4,20180206_110905_009463,734.96,735.56,Non-canonical syllables,2,Non-Canonical
22,14564.DB2,2931_1,13.4,20180206_110905_009463,751.13,752.08,None,0,Non-Canonical
23,14685.DB2,2931_1,13.4,20180206_110905_009463,776.32,776.97,Non-canonical syllables,3,Non-Canonical
24,14373.DB2,2931_1,13.4,20180206_110905_009463,779.08,779.73,Don't mark,3,Junk
25,14372.DB2,2931_1,13.4,20180206_110905_009463,780.66,781.33,Non-canonical syllables,3,Non-Canonical
26,14626.DB2,2931_1,13.4,20180206_110905_009463,794.81,795.41,Canonical syllables,2,Canonical
27,10690.DB2,2931_1,13.4,20180206_110905_009463,849.94,850.67,Non-canonical syllables,3,Non-Canonical
28,11258.DB2,2931_1,13.4,20180206_110905_009463,880.13,880.74,Don't mark,3,Junk
29,11284.DB2,2931_1,13.4,20180206_110905_009463,882.97,883.57,Don't mark,2,Junk
30,11334.DB2,2931_1,13.4,20180206_110905_009463,885.43,886.82,Don't mark,3,Junk
31,11666.DB2,2931_1,13.4,20180206_110905_009463,949.23,949.86,Don't mark,3,Junk
32,11515.DB2,2931_1,13.4,20180206_110905_009463,954.93,955.67,Don't mark,2,Junk
33,11633.DB2,2931_1,13.4,20180206_110905_009463,979.5,980.1,Don't mark,3,Junk
34,12426.DB2,2931_1,13.4,20180206_110905_009463,982.33,983.32,Don't mark,3,Junk
35,12416.DB2,2931_1,13.4,20180206_110905_009463,1042.82,1043.42,Don't mark,2,Non-Canonical
36,11306.DB2,2931_1,13.4,20180206_110905_009463,1051.47,1052.49,Canonical syllables,2,Canonical
37,11779.DB2,2931_1,13.4,20180206_110905_009463,1056.49,1057.1,Canonical syllables,2,Non-Canonical
38,10704.DB2,2931_1,13.4,20180206_110905_009463,1060.46,1061.6,Canonical syllables,3,Canonical
