idx,AudioData,Answer
0,0039804433.mp3,Junk
1,0039804433.mp3,Crying
2,0039804433.mp3,Junk
3,0039804433.mp3,Laughing
4,0039804433.mp3,Non-Canonical
5,0262544618.mp3,Crying
6,0262544618.mp3,Non-Canonical
7,0262544618.mp3,Non-Canonical
8,0262544618.mp3,Non-Canonical
9,0262544618.mp3,Non-Canonical
10,8010613424.mp3,Junk
11,8010613424.mp3,Junk
12,8010613424.mp3,Junk
13,8010613424.mp3,Junk
14,8010613424.mp3,Junk
15,9643189529.mp3,Non-Canonical
16,9643189529.mp3,Canonical
17,9643189529.mp3,Non-Canonical
18,9643189529.mp3,Junk
19,9643189529.mp3,Crying
20,5505327337.mp3,Non-Canonical
21,5505327337.mp3,Non-Canonical
22,5505327337.mp3,Junk
23,5505327337.mp3,Non-Canonical
24,5505327337.mp3,Non-Canonical
25,7644943016.mp3,Non-Canonical
26,7644943016.mp3,Non-Canonical
27,7644943016.mp3,Non-Canonical
28,7644943016.mp3,Laughing
29,7644943016.mp3,Junk
30,0256915191.mp3,Crying
31,0256915191.mp3,Non-Canonical
32,0256915191.mp3,Non-Canonical
33,0256915191.mp3,Non-Canonical
34,0256915191.mp3,Non-Canonical
35,0261280428.mp3,Laughing
36,0261280428.mp3,Non-Canonical
37,0261280428.mp3,Non-Canonical
38,0261280428.mp3,Non-Canonical
39,0261280428.mp3,Non-Canonical
40,6161389662.mp3,Non-Canonical
41,6161389662.mp3,Laughing
42,6161389662.mp3,Junk
43,6161389662.mp3,Non-Canonical
44,6161389662.mp3,Crying
45,9510030523.mp3,Junk
46,9510030523.mp3,Junk
47,9510030523.mp3,Non-Canonical
48,9510030523.mp3,Non-Canonical
49,9510030523.mp3,Junk
50,0482407008.mp3,Non-Canonical
51,0482407008.mp3,Junk
52,0482407008.mp3,Canonical
53,0482407008.mp3,Non-Canonical
54,0482407008.mp3,Non-Canonical
55,9335828813.mp3,Non-Canonical
56,9335828813.mp3,Non-Canonical
57,9335828813.mp3,Non-Canonical
58,9335828813.mp3,Laughing
59,9335828813.mp3,Non-Canonical
60,4711229651.mp3,Non-Canonical
61,4711229651.mp3,Non-Canonical
62,4711229651.mp3,Canonical
63,4711229651.mp3,Crying
64,4711229651.mp3,Non-Canonical
65,7581747496.mp3,Non-Canonical
66,7581747496.mp3,Non-Canonical
67,7581747496.mp3,Crying
68,7581747496.mp3,Non-Canonical
69,7581747496.mp3,Junk
70,2999197616.mp3,Non-Canonical
71,2999197616.mp3,Non-Canonical
72,2999197616.mp3,Non-Canonical
73,2999197616.mp3,Non-Canonical
74,2999197616.mp3,Non-Canonical
75,3568089658.mp3,Junk
76,3568089658.mp3,Non-Canonical
77,3568089658.mp3,Laughing
78,3568089658.mp3,Non-Canonical
79,3568089658.mp3,Non-Canonical
80,3309967123.mp3,Non-Canonical
81,3309967123.mp3,Non-Canonical
82,3309967123.mp3,Non-Canonical
83,3309967123.mp3,Junk
84,3309967123.mp3,Non-Canonical
85,3008474635.mp3,Non-Canonical
86,3008474635.mp3,Crying
87,3008474635.mp3,Canonical
88,3008474635.mp3,Non-Canonical
89,3008474635.mp3,Non-Canonical
90,5850522925.mp3,Laughing
91,5850522925.mp3,Non-Canonical
92,5850522925.mp3,Canonical
93,5850522925.mp3,Non-Canonical
94,5850522925.mp3,Laughing
95,5884266059.mp3,Non-Canonical
96,5884266059.mp3,Non-Canonical
97,5884266059.mp3,Non-Canonical
98,5884266059.mp3,Non-Canonical
99,5884266059.mp3,Non-Canonical
100,2386334725.mp3,Non-Canonical
101,2386334725.mp3,Non-Canonical
102,2386334725.mp3,Non-Canonical
103,2386334725.mp3,Non-Canonical
104,2386334725.mp3,Canonical
105,0297123870.mp3,Junk
106,0297123870.mp3,Non-Canonical
107,0297123870.mp3,Non-Canonical
108,0297123870.mp3,Non-Canonical
109,0297123870.mp3,Crying
110,5002554731.mp3,Non-Canonical
111,5002554731.mp3,Non-Canonical
112,5002554731.mp3,Non-Canonical
113,5002554731.mp3,Canonical
114,5002554731.mp3,Non-Canonical
115,4082860512.mp3,Junk
116,4082860512.mp3,Non-Canonical
117,4082860512.mp3,Junk
118,4082860512.mp3,Non-Canonical
119,4082860512.mp3,Non-Canonical
120,9572840818.mp3,Crying
121,9572840818.mp3,Junk
122,9572840818.mp3,Non-Canonical
123,9572840818.mp3,Junk
124,9572840818.mp3,Non-Canonical
125,7028847052.mp3,Non-Canonical
126,7028847052.mp3,Non-Canonical
127,7028847052.mp3,Non-Canonical
128,7028847052.mp3,Non-Canonical
129,7028847052.mp3,Non-Canonical
130,0047748127.mp3,Laughing
131,0047748127.mp3,Non-Canonical
132,0047748127.mp3,Non-Canonical
133,0047748127.mp3,Non-Canonical
134,0047748127.mp3,Laughing
135,9695553493.mp3,Junk
136,9695553493.mp3,Crying
137,9695553493.mp3,Non-Canonical
138,9695553493.mp3,Canonical
139,9695553493.mp3,Non-Canonical
140,6256765385.mp3,Non-Canonical
141,6256765385.mp3,Non-Canonical
142,6256765385.mp3,Junk
143,6256765385.mp3,Non-Canonical
144,6256765385.mp3,Laughing
145,5544077013.mp3,Canonical
146,5544077013.mp3,Non-Canonical
147,5544077013.mp3,Non-Canonical
148,5544077013.mp3,Non-Canonical
149,5544077013.mp3,Non-Canonical
150,9279884301.mp3,Non-Canonical
151,9279884301.mp3,Non-Canonical
152,9279884301.mp3,Canonical
153,9279884301.mp3,Non-Canonical
154,9279884301.mp3,Junk
155,1306603200.mp3,Non-Canonical
156,1306603200.mp3,Non-Canonical
157,1306603200.mp3,Non-Canonical
158,1306603200.mp3,Non-Canonical
159,1306603200.mp3,Non-Canonical
160,8410799694.mp3,Non-Canonical
161,8410799694.mp3,Canonical
162,8410799694.mp3,Non-Canonical
163,8410799694.mp3,Laughing
164,8410799694.mp3,Non-Canonical
165,4917493188.mp3,Non-Canonical
166,4917493188.mp3,Canonical
167,4917493188.mp3,Non-Canonical
168,4917493188.mp3,Canonical
169,4917493188.mp3,Non-Canonical
170,2820852949.mp3,Crying
171,2820852949.mp3,Non-Canonical
172,2820852949.mp3,Crying
173,2820852949.mp3,Non-Canonical
174,2820852949.mp3,Non-Canonical
175,0030709205.mp3,Canonical
176,0030709205.mp3,Non-Canonical
177,0030709205.mp3,Non-Canonical
178,0030709205.mp3,Non-Canonical
179,0030709205.mp3,Junk
180,2224419668.mp3,Non-Canonical
181,2224419668.mp3,Non-Canonical
182,2224419668.mp3,Junk
183,2224419668.mp3,Non-Canonical
184,2224419668.mp3,Non-Canonical
185,3617357458.mp3,Non-Canonical
186,3617357458.mp3,Non-Canonical
187,3617357458.mp3,Junk
188,3617357458.mp3,Junk
189,3617357458.mp3,Non-Canonical
190,5612496988.mp3,Non-Canonical
191,5612496988.mp3,Crying
192,5612496988.mp3,Non-Canonical
193,5612496988.mp3,Non-Canonical
194,5612496988.mp3,Non-Canonical
195,3819526749.mp3,Non-Canonical
196,3819526749.mp3,Non-Canonical
197,3819526749.mp3,Non-Canonical
198,3819526749.mp3,Non-Canonical
199,3819526749.mp3,Laughing
200,6386046517.mp3,Junk
201,6386046517.mp3,Junk
