idx,AudioData,Answer,Age,ChildID
0,1852156664,Junk,420,2931_1
1,1852156664,Non-Canonical,420,2931_1
2,1852156664,Junk,420,2931_1
3,1852156664,Canonical,420,2931_1
4,1852156664,Canonical,420,2931_1
5,1060847691,Non-Canonical,420,2931_1
6,1060847691,Non-Canonical,420,2931_1
7,1060847691,Non-Canonical,420,2931_1
8,1060847691,Non-Canonical,420,2931_1
9,1060847691,Junk,420,2931_1
10,963181853,Junk,420,2931_1
11,963181853,Junk,420,2931_1
12,963181853,Junk,420,2931_1
13,963181853,Junk,420,2931_1
14,963181853,Junk,420,2931_1
15,5319438916,Junk,420,2931_1
16,5319438916,Non-Canonical,420,2931_1
17,5319438916,Non-Canonical,420,2931_1
18,5319438916,Non-Canonical,420,2931_1
19,5319438916,Canonical,420,2931_1
20,4537486768,Canonical,420,2931_1
21,4537486768,Canonical,420,2931_1
22,4537486768,Canonical,420,2931_1
23,4537486768,Canonical,420,2931_1
24,4537486768,Non-Canonical,420,2931_1
25,1926840763,Non-Canonical,420,2931_1
26,1926840763,Junk,420,2931_1
27,1926840763,Non-Canonical,420,2931_1
28,1926840763,Junk,420,2931_1
29,1926840763,Non-Canonical,420,2931_1
30,3233131638,Junk,420,2931_1
31,3233131638,Non-Canonical,420,2931_1
32,3233131638,Non-Canonical,420,2931_1
33,3233131638,Non-Canonical,420,2931_1
34,3233131638,Canonical,420,2931_1
35,6504369120,Junk,420,2931_1
36,6504369120,Junk,420,2931_1
37,6504369120,Non-Canonical,420,2931_1
38,6504369120,Junk,420,2931_1
39,6504369120,Non-Canonical,420,2931_1
40,4323240817,Canonical,420,2931_1
41,4323240817,Canonical,420,2931_1
42,4323240817,Canonical,420,2931_1
43,4323240817,Non-Canonical,420,2931_1
44,4323240817,Canonical,420,2931_1
45,4703992890,Crying,420,2931_1
46,4703992890,Junk,420,2931_1
47,4703992890,Junk,420,2931_1
48,4703992890,Junk,420,2931_1
49,4703992890,Crying,420,2931_1
50,9950059747,Junk,420,2931_1
51,9950059747,Junk,420,2931_1
52,9950059747,Laughing,420,2931_1
53,9950059747,Junk,420,2931_1
54,9950059747,Junk,420,2931_1
55,9392876971,Non-Canonical,420,2931_1
56,9392876971,Non-Canonical,420,2931_1
57,9392876971,Canonical,420,2931_1
58,9392876971,Canonical,420,2931_1
59,9392876971,Junk,420,2931_1
60,4745381197,Canonical,420,2931_1
61,4745381197,Canonical,420,2931_1
62,4745381197,Canonical,420,2931_1
63,4745381197,Canonical,420,2931_1
64,4745381197,Canonical,420,2931_1
65,8506760403,Junk,420,2931_1
66,8506760403,Non-Canonical,420,2931_1
67,8506760403,Non-Canonical,420,2931_1
68,8506760403,Non-Canonical,420,2931_1
69,8506760403,Canonical,420,2931_1
70,6019657971,Non-Canonical,420,2931_1
71,6019657971,Non-Canonical,420,2931_1
72,6019657971,Non-Canonical,420,2931_1
73,6019657971,Non-Canonical,420,2931_1
74,6019657971,Canonical,420,2931_1
75,6523011539,Junk,420,2931_1
76,6523011539,Junk,420,2931_1
77,6523011539,Junk,420,2931_1
78,6523011539,Junk,420,2931_1
79,6523011539,Junk,420,2931_1
80,5767128821,Junk,420,2931_1
81,5767128821,Junk,420,2931_1
82,5767128821,Junk,420,2931_1
83,5767128821,Junk,420,2931_1
84,5767128821,Junk,420,2931_1
85,1485756758,Non-Canonical,420,2931_1
86,1485756758,Junk,420,2931_1
87,1485756758,Junk,420,2931_1
88,1485756758,Junk,420,2931_1
89,1485756758,Junk,420,2931_1
90,192628051,Non-Canonical,420,2931_1
91,192628051,Junk,420,2931_1
92,192628051,Non-Canonical,420,2931_1
93,192628051,Junk,420,2931_1
94,192628051,Junk,420,2931_1
95,9162150686,Non-Canonical,420,2931_1
96,9162150686,Non-Canonical,420,2931_1
97,9162150686,Non-Canonical,420,2931_1
98,9162150686,Junk,420,2931_1
99,9162150686,Non-Canonical,420,2931_1
100,4888461651,Junk,420,2931_1
101,4888461651,Junk,420,2931_1
102,4888461651,Junk,420,2931_1
103,4888461651,Junk,420,2931_1
104,4888461651,Junk,420,2931_1
105,3625695316,Non-Canonical,420,2931_1
106,3625695316,Non-Canonical,420,2931_1
107,3625695316,Non-Canonical,420,2931_1
108,3625695316,Junk,420,2931_1
109,3625695316,Non-Canonical,420,2931_1
110,1552743114,Non-Canonical,420,2931_1
111,1552743114,Non-Canonical,420,2931_1
112,1552743114,Junk,420,2931_1
113,1552743114,Junk,420,2931_1
114,1552743114,Canonical,420,2931_1
115,9184079111,Non-Canonical,420,2931_1
116,9184079111,Non-Canonical,420,2931_1
117,9184079111,Non-Canonical,420,2931_1
118,9184079111,Non-Canonical,420,2931_1
119,9184079111,Crying,420,2931_1
120,8130189423,Canonical,420,2931_1
121,8130189423,Canonical,420,2931_1
122,8130189423,Canonical,420,2931_1
123,8130189423,Canonical,420,2931_1
124,8130189423,Non-Canonical,420,2931_1
125,9360226229,Canonical,420,2931_1
