idx,corpus,ChildID,AudioData,Age,child_gender,ID_cor
0,Casillas-Yeli,F07,0987198813.mp3,1.0,F,F07Casillas-Yeli
1,Casillas-Yeli,F07,0577502566.mp3,1.0,F,F07Casillas-Yeli
2,Casillas-Yeli,F07,0182801084.mp3,1.0,F,F07Casillas-Yeli
3,Casillas-Yeli,F07,0364010161.mp3,1.0,F,F07Casillas-Yeli
4,Casillas-Yeli,F07,0171939653.mp3,1.0,F,F07Casillas-Yeli
5,Casillas-Yeli,F07,0452692342.mp3,1.0,F,F07Casillas-Yeli
6,Casillas-Yeli,F07,0256023212.mp3,1.0,F,F07Casillas-Yeli
7,Casillas-Yeli,F07,0561570391.mp3,1.0,F,F07Casillas-Yeli
8,Casillas-Yeli,F07,0588279902.mp3,1.0,F,F07Casillas-Yeli
9,Casillas-Yeli,F07,0399155516.mp3,1.0,F,F07Casillas-Yeli
10,Casillas-Yeli,F07,0875276200.mp3,1.0,F,F07Casillas-Yeli
11,Casillas-Yeli,F07,0642711913.mp3,1.0,F,F07Casillas-Yeli
12,Casillas-Yeli,F07,0434917885.mp3,1.0,F,F07Casillas-Yeli
13,Casillas-Yeli,F07,0990316913.mp3,1.0,F,F07Casillas-Yeli
14,Casillas-Yeli,F07,0677698622.mp3,1.0,F,F07Casillas-Yeli
15,Casillas-Yeli,F07,0489643324.mp3,1.0,F,F07Casillas-Yeli
16,Casillas-Yeli,F07,0620375131.mp3,1.0,F,F07Casillas-Yeli
17,Casillas-Yeli,F07,0895283602.mp3,1.0,F,F07Casillas-Yeli
18,Casillas-Yeli,F07,0239785174.mp3,1.0,F,F07Casillas-Yeli
19,Casillas-Yeli,F07,0604780674.mp3,1.0,F,F07Casillas-Yeli
20,Casillas-Yeli,F07,0482286626.mp3,1.0,F,F07Casillas-Yeli
21,Casillas-Yeli,F07,0807369218.mp3,1.0,F,F07Casillas-Yeli
22,Casillas-Yeli,F07,0117138165.mp3,1.0,F,F07Casillas-Yeli
23,Casillas-Yeli,F07,0137925289.mp3,1.0,F,F07Casillas-Yeli
24,Casillas-Yeli,F07,0434587814.mp3,1.0,F,F07Casillas-Yeli
25,Casillas-Yeli,F07,0697012137.mp3,1.0,F,F07Casillas-Yeli
26,Casillas-Yeli,F07,0388358327.mp3,1.0,F,F07Casillas-Yeli
27,Casillas-Yeli,F07,0279494033.mp3,1.0,F,F07Casillas-Yeli
28,Casillas-Yeli,F07,0854900842.mp3,1.0,F,F07Casillas-Yeli
29,Casillas-Yeli,F07,0473133614.mp3,1.0,F,F07Casillas-Yeli
30,Casillas-Yeli,F07,0565379118.mp3,1.0,F,F07Casillas-Yeli
31,Casillas-Yeli,F07,0469266903.mp3,1.0,F,F07Casillas-Yeli
32,Casillas-Yeli,F07,0907868634.mp3,1.0,F,F07Casillas-Yeli
33,Casillas-Yeli,F07,0716616880.mp3,1.0,F,F07Casillas-Yeli
34,Casillas-Yeli,F07,0269212123.mp3,1.0,F,F07Casillas-Yeli
35,Casillas-Yeli,F07,0795574437.mp3,1.0,F,F07Casillas-Yeli
36,Casillas-Yeli,F07,0328263059.mp3,1.0,F,F07Casillas-Yeli
37,Casillas-Yeli,F07,0147432603.mp3,1.0,F,F07Casillas-Yeli
38,Casillas-Yeli,F07,0536166615.mp3,1.0,F,F07Casillas-Yeli
39,Casillas-Yeli,F07,0853407866.mp3,1.0,F,F07Casillas-Yeli
40,Casillas-Yeli,F07,0438161388.mp3,1.0,F,F07Casillas-Yeli
41,Casillas-Yeli,F07,0677950839.mp3,1.0,F,F07Casillas-Yeli
42,Casillas-Yeli,F07,0270596026.mp3,1.0,F,F07Casillas-Yeli
43,Casillas-Yeli,F07,0708029118.mp3,1.0,F,F07Casillas-Yeli
44,Casillas-Yeli,F07,0547928895.mp3,1.0,F,F07Casillas-Yeli
45,Casillas-Yeli,F07,0918060535.mp3,1.0,F,F07Casillas-Yeli
46,Casillas-Yeli,F07,0998561102.mp3,1.0,F,F07Casillas-Yeli
47,Casillas-Yeli,F07,0573028841.mp3,1.0,F,F07Casillas-Yeli
48,Casillas-Yeli,F07,0290368941.mp3,1.0,F,F07Casillas-Yeli
49,Casillas-Yeli,F07,0455472624.mp3,1.0,F,F07Casillas-Yeli
50,Casillas-Yeli,F07,0643311764.mp3,1.0,F,F07Casillas-Yeli
51,Casillas-Yeli,F07,0366390208.mp3,1.0,F,F07Casillas-Yeli
52,Casillas-Yeli,F07,0779473172.mp3,1.0,F,F07Casillas-Yeli
53,Casillas-Yeli,F07,0807001778.mp3,1.0,F,F07Casillas-Yeli
54,Casillas-Yeli,F07,0175399686.mp3,1.0,F,F07Casillas-Yeli
55,Casillas-Yeli,F07,0579281028.mp3,1.0,F,F07Casillas-Yeli
56,Casillas-Yeli,F07,0990071815.mp3,1.0,F,F07Casillas-Yeli
57,Casillas-Yeli,F07,0542511258.mp3,1.0,F,F07Casillas-Yeli
58,Casillas-Yeli,F07,0391395590.mp3,1.0,F,F07Casillas-Yeli
59,Casillas-Yeli,F07,0102632773.mp3,1.0,F,F07Casillas-Yeli
60,Casillas-Yeli,F07,0318566146.mp3,1.0,F,F07Casillas-Yeli
61,Casillas-Yeli,F07,0679339469.mp3,1.0,F,F07Casillas-Yeli
62,Casillas-Yeli,F07,0341058795.mp3,1.0,F,F07Casillas-Yeli
63,Casillas-Yeli,F07,0359001428.mp3,1.0,F,F07Casillas-Yeli
64,Casillas-Yeli,F07,0658281568.mp3,1.0,F,F07Casillas-Yeli
65,Casillas-Yeli,F07,0155664826.mp3,1.0,F,F07Casillas-Yeli
66,Casillas-Yeli,F07,0975422017.mp3,1.0,F,F07Casillas-Yeli
67,Casillas-Yeli,F07,0133450026.mp3,1.0,F,F07Casillas-Yeli
68,Casillas-Yeli,F07,0933709805.mp3,1.0,F,F07Casillas-Yeli
69,Casillas-Yeli,F07,0849026418.mp3,1.0,F,F07Casillas-Yeli
