AudioData,ChildID,Age,onset,offset,chunk_pos
0039804433,1111_1,53.26,17808.14,17809.14,0
0262544618,1111_1,53.26,17808.14,17809.14,1
8010613424,1111_1,53.26,17865.14,17866.14,0
9643189529,1111_1,53.26,17865.14,17866.14,1
5505327337,1111_1,53.26,19512.88,19513.88,0
7644943016,1111_1,53.26,19512.88,19513.88,1
0256915191,1111_1,53.26,19552.76,19553.76,0
0261280428,1111_1,53.26,19552.76,19553.76,1
6161389662,1111_1,53.26,19554.18,19555.18,0
9510030523,1111_1,53.26,19554.18,19555.18,1
0482407008,1111_1,53.26,19562.03,19563.03,0
9335828813,1111_1,53.26,19562.03,19563.03,1
4711229651,1111_1,53.26,19567.08,19568.58,0
7581747496,1111_1,53.26,19567.08,19568.58,1
2999197616,1111_1,53.26,19567.08,19568.58,2
3568089658,1111_1,53.26,19568.11,19569.61,0
3309967123,1111_1,53.26,19568.11,19569.61,1
3008474635,1111_1,53.26,19568.11,19569.61,2
5850522925,1111_1,53.26,19586.15,19587.65,0
5884266059,1111_1,53.26,19586.15,19587.65,1
2386334725,1111_1,53.26,19586.15,19587.65,2
0297123870,1111_1,53.26,19590.65,19591.65,0
5002554731,1111_1,53.26,19590.65,19591.65,1
4082860512,1111_1,53.26,19594.51,19595.51,0
9572840818,1111_1,53.26,19594.51,19595.51,1
7028847052,1111_1,53.26,19603.31,19604.81,0
0047748127,1111_1,53.26,19603.31,19604.81,1
9695553493,1111_1,53.26,19603.31,19604.81,2
6256765385,1111_1,53.26,19623.75,19624.75,0
5544077013,1111_1,53.26,19623.75,19624.75,1
9279884301,1111_1,53.26,19640.01,19641.01,0
1306603200,1111_1,53.26,19640.01,19641.01,1
8410799694,1111_1,53.26,19654.84,19655.84,0
4917493188,1111_1,53.26,19654.84,19655.84,1
2820852949,1111_1,53.26,19658.49,19659.49,0
0030709205,1111_1,53.26,19658.49,19659.49,1
2224419668,1111_1,53.26,19660.12,19661.12,0
3617357458,1111_1,53.26,19660.12,19661.12,1
5612496988,1111_1,53.26,19662.72,19663.72,0
3819526749,1111_1,53.26,19662.72,19663.72,1
6386046517,1111_1,53.26,19665.12,19666.12,0
5850817365,1111_1,53.26,19665.12,19666.12,1
1200505053,1111_1,53.26,19666.52,19667.52,0
8349385270,1111_1,53.26,19666.52,19667.52,1
9904562275,1111_1,53.26,19678.54,19680.54,0
4481022026,1111_1,53.26,19678.54,19680.54,1
2154031602,1111_1,53.26,19678.54,19680.54,2
9633026680,1111_1,53.26,19678.54,19680.54,3
0183182314,1111_1,53.26,19682.18,19683.18,0
0117746985,1111_1,53.26,19682.18,19683.18,1
3949431475,1111_1,53.26,19684.56,19685.56,0
5688221106,1111_1,53.26,19684.56,19685.56,1
2169593740,1111_1,53.26,19690.08,19691.08,0
9862177785,1111_1,53.26,19690.08,19691.08,1
0864270060,1111_1,53.26,19695.58,19698.08,0
5302702852,1111_1,53.26,19695.58,19698.08,1
2329522407,1111_1,53.26,19695.58,19698.08,2
0432790961,1111_1,53.26,19695.58,19698.08,3
4770746014,1111_1,53.26,19695.58,19698.08,4
7972184868,1111_1,53.26,19697.78,19699.28,0
3113124174,1111_1,53.26,19697.78,19699.28,1
2424719016,1111_1,53.26,19697.78,19699.28,2
1618816807,1111_1,53.26,19698.92,19699.92,0
9980932955,1111_1,53.26,19698.92,19699.92,1
0825974208,1111_1,53.26,19708.85,19709.85,0
3536438973,1111_1,53.26,19708.85,19709.85,1
3818532809,1111_1,53.26,19710.43,19711.93,0
4865300266,1111_1,53.26,19710.43,19711.93,1
1676188018,1111_1,53.26,19710.43,19711.93,2
6619524006,1111_1,53.26,19712.51,19714.01,0
6710911161,1111_1,53.26,19712.51,19714.01,1
4837547834,1111_1,53.26,19712.51,19714.01,2
4861587179,1111_1,53.26,19716.11,19717.61,0
1741830273,1111_1,53.26,19716.11,19717.61,1
4950032265,1111_1,53.26,19716.11,19717.61,2
8716411095,1111_1,53.26,19733.25,19734.75,0
8104406057,1111_1,53.26,19733.25,19734.75,1
7142191225,1111_1,53.26,19733.25,19734.75,2
3223827876,1111_1,53.26,19735.31,19736.81,0
3704247678,1111_1,53.26,19735.31,19736.81,1
7190054582,1111_1,53.26,19735.31,19736.81,2
3946152259,1111_1,53.26,19744.11,19745.61,0
4318733610,1111_1,53.26,19744.11,19745.61,1
4080080737,1111_1,53.26,19744.11,19745.61,2
5782697950,1111_1,53.26,20364.78,20365.78,0
3274302607,1111_1,53.26,20364.78,20365.78,1
3563062790,1111_1,53.26,20398.56,20399.56,0
6275439950,1111_1,53.26,20398.56,20399.56,1
2092658065,1111_1,53.26,20424.85,20425.85,0
1556464332,1111_1,53.26,20424.85,20425.85,1
1521179601,1111_1,53.26,20426.26,20427.26,0
4166170740,1111_1,53.26,20426.26,20427.26,1
7240278544,1111_1,53.26,20434.95,20435.95,0
5336073808,1111_1,53.26,20434.95,20435.95,1
3914478843,1111_1,53.26,20435.57,20437.07,0
4976626265,1111_1,53.26,20435.57,20437.07,1
1920622288,1111_1,53.26,20435.57,20437.07,2
5194378305,1111_1,53.26,20437.55,20439.05,0
3042922589,1111_1,53.26,20437.55,20439.05,1
7090643583,1111_1,53.26,20437.55,20439.05,2
6077783094,1111_1,53.26,20439.63,20440.63,0
9001089403,1111_1,53.26,20439.63,20440.63,1
9821423687,1111_1,53.26,20449.74,20450.74,0
7480156031,1111_1,53.26,20449.74,20450.74,1
1307748761,1111_1,53.26,20454.35,20455.35,0
8709071279,1111_1,53.26,20454.35,20455.35,1
6193354759,1111_1,53.26,20458.42,20459.92,0
2471724248,1111_1,53.26,20458.42,20459.92,1
6302255220,1111_1,53.26,20458.42,20459.92,2
4500456317,1111_1,53.26,20461.68,20462.68,0
4629210596,1111_1,53.26,20461.68,20462.68,1
9156103190,1111_1,53.26,20469.64,20471.14,0
9323390807,1111_1,53.26,20469.64,20471.14,1
6966752927,1111_1,53.26,20469.64,20471.14,2
4927047817,1111_1,53.26,20473.85,20474.85,0
5629391645,1111_1,53.26,20473.85,20474.85,1
8185605745,1111_1,53.26,20477.11,20478.11,0
5513700299,1111_1,53.26,20477.11,20478.11,1
0128484573,1111_1,53.26,20485.15,20486.15,0
8256612438,1111_1,53.26,20485.15,20486.15,1
5114953884,1111_1,53.26,20495.49,20496.49,0
4157274475,1111_1,53.26,20495.49,20496.49,1
0923288868,1111_1,53.26,20498.31,20499.31,0
0134233569,1111_1,53.26,20498.31,20499.31,1
2597489770,1111_1,53.26,20502.65,20503.65,0
0033941546,1111_1,53.26,20502.65,20503.65,1
9511286156,1111_1,53.26,20506.24,20507.24,0
8880980940,1111_1,53.26,20506.24,20507.24,1
9156327101,1111_1,53.26,20510.44,20511.44,0
6117210522,1111_1,53.26,20510.44,20511.44,1
1991308206,1111_1,53.26,20517.76,20519.26,0
8871507156,1111_1,53.26,20517.76,20519.26,1
9041480186,1111_1,53.26,20517.76,20519.26,2
9967232075,1111_1,53.26,20522.21,20524.21,0
3034829731,1111_1,53.26,20522.21,20524.21,1
4836882684,1111_1,53.26,20522.21,20524.21,2
8934056772,1111_1,53.26,20522.21,20524.21,3
0216558473,1111_1,53.26,20532.97,20533.97,0
3944835064,1111_1,53.26,20532.97,20533.97,1
7000561628,1111_1,53.26,20535.96,20536.96,0
3672816062,1111_1,53.26,20535.96,20536.96,1
6226497493,1111_1,53.26,20538.18,20539.18,0
5376624197,1111_1,53.26,20538.18,20539.18,1
0376903973,1111_1,53.26,20546.74,20547.74,0
6940463645,1111_1,53.26,20546.74,20547.74,1
4207257610,1111_1,53.26,20551.88,20552.88,0
0786552490,1111_1,53.26,20551.88,20552.88,1
1919821263,1111_1,53.26,20614.68,20615.68,0
6498451467,1111_1,53.26,20614.68,20615.68,1
0462488716,1111_1,53.26,20617.24,20618.24,0
1676715025,1111_1,53.26,20617.24,20618.24,1
2361390677,1111_1,53.26,20622.25,20623.75,0
3862546524,1111_1,53.26,20622.25,20623.75,1
6012573297,1111_1,53.26,20622.25,20623.75,2
2998568587,1111_1,53.26,20624.30,20625.30,0
5713325314,1111_1,53.26,20624.30,20625.30,1
5520831962,1111_1,53.26,21873.21,21874.71,0
0625736106,1111_1,53.26,21873.21,21874.71,1
5185809116,1111_1,53.26,21873.21,21874.71,2
7479390473,1111_1,53.26,21891.86,21892.86,0
4784450711,1111_1,53.26,21891.86,21892.86,1
4192298066,1111_1,53.26,21900.25,21901.25,0
1156303919,1111_1,53.26,21900.25,21901.25,1
4792079764,1111_1,53.26,21907.75,21908.75,0
6450613791,1111_1,53.26,21907.75,21908.75,1
0194698200,1111_1,53.26,21914.71,21915.71,0
2418727353,1111_1,53.26,21914.71,21915.71,1
6829070967,1111_1,53.26,21918.24,21919.24,0
1565037454,1111_1,53.26,21918.24,21919.24,1
4728459532,1111_1,53.26,21920.23,21921.23,0
0813711575,1111_1,53.26,21920.23,21921.23,1
8748076651,1111_1,53.26,21922.73,21923.73,0
6277430049,1111_1,53.26,21922.73,21923.73,1
7519551327,1111_1,53.26,21932.35,21933.35,0
3115179951,1111_1,53.26,21932.35,21933.35,1
6676441950,1111_1,53.26,21936.97,21937.97,0
6366045258,1111_1,53.26,21936.97,21937.97,1
8878608416,1111_1,53.26,21943.47,21944.47,0
7718491528,1111_1,53.26,21943.47,21944.47,1
1924414855,1111_1,53.26,21946.13,21947.13,0
7887295851,1111_1,53.26,21946.13,21947.13,1
6145560537,1111_1,53.26,21952.05,21953.55,0
8370698160,1111_1,53.26,21952.05,21953.55,1
6804288459,1111_1,53.26,21952.05,21953.55,2
1808123443,1111_1,53.26,21956.87,21957.87,0
6721330761,1111_1,53.26,21956.87,21957.87,1
3224026625,1111_1,53.26,21965.61,21966.61,0
8906442015,1111_1,53.26,21965.61,21966.61,1
9224759380,1111_1,53.26,21970.24,21971.74,0
5453133297,1111_1,53.26,21970.24,21971.74,1
3027337942,1111_1,53.26,21970.24,21971.74,2
1082766132,1111_1,53.26,21973.60,21974.60,0
6816568619,1111_1,53.26,21973.60,21974.60,1
4543352019,1111_1,53.26,21979.92,21980.92,0
5800345528,1111_1,53.26,21979.92,21980.92,1
5605609913,1111_1,53.26,21983.54,21984.54,0
9035342822,1111_1,53.26,21983.54,21984.54,1
3086668156,1111_1,53.26,21988.45,21989.45,0
4980142193,1111_1,53.26,21988.45,21989.45,1
0278057314,1111_1,53.26,21996.83,21997.83,0
3905514568,1111_1,53.26,21996.83,21997.83,1
1200728977,1111_1,53.26,21998.99,21999.99,0
7608918321,1111_1,53.26,21998.99,21999.99,1
1172283475,1111_1,53.26,22004.60,22005.60,0
3926967723,1111_1,53.26,22004.60,22005.60,1
3751520001,1111_1,53.26,22006.90,22007.90,0
3047032315,1111_1,53.26,22006.90,22007.90,1
9495277785,1111_1,53.26,22008.31,22009.31,0
4517698509,1111_1,53.26,22008.31,22009.31,1
3292595057,1111_1,53.26,22011.92,22013.42,0
0433644349,1111_1,53.26,22011.92,22013.42,1
4095674393,1111_1,53.26,22011.92,22013.42,2
0887125515,1111_1,53.26,22014.96,22015.96,0
5134141751,1111_1,53.26,22014.96,22015.96,1
4661425442,1111_1,53.26,22017.22,22018.22,0
3069197765,1111_1,53.26,22017.22,22018.22,1
5828339171,1111_1,53.26,22018.96,22019.96,0
1636182500,1111_1,53.26,22018.96,22019.96,1
4775106347,1111_1,53.26,22024.47,22025.47,0
9315308950,1111_1,53.26,22024.47,22025.47,1
0915412603,1111_1,53.26,22025.96,22026.96,0
4940122570,1111_1,53.26,22025.96,22026.96,1
6801498563,1111_1,53.26,22029.66,22030.66,0
2702508572,1111_1,53.26,22029.66,22030.66,1
1333609541,1111_1,53.26,22033.59,22034.59,0
3719241292,1111_1,53.26,22033.59,22034.59,1
4870013290,1111_1,53.26,22035.03,22036.03,0
0201834254,1111_1,53.26,22035.03,22036.03,1
6441126403,1111_1,53.26,22037.51,22038.51,0
9953002923,1111_1,53.26,22037.51,22038.51,1
4038454505,1111_1,53.26,22039.12,22040.12,0
9001287656,1111_1,53.26,22039.12,22040.12,1
1105994113,1111_1,53.26,22056.47,22057.47,0
1688163310,1111_1,53.26,22056.47,22057.47,1
3751650957,1111_1,53.26,22059.90,22060.90,0
8394596937,1111_1,53.26,22059.90,22060.90,1
1707916548,1111_1,53.26,22064.92,22065.92,0
2325903572,1111_1,53.26,22064.92,22065.92,1
2859798692,1111_1,53.26,22075.38,22076.88,0
3549435223,1111_1,53.26,22075.38,22076.88,1
9298891639,1111_1,53.26,22075.38,22076.88,2
6632645368,1111_1,53.26,22077.83,22078.83,0
8192562912,1111_1,53.26,22077.83,22078.83,1
8611210878,1111_1,53.26,22079.56,22081.06,0
2448148187,1111_1,53.26,22079.56,22081.06,1
5789116183,1111_1,53.26,22079.56,22081.06,2
3331291225,1111_1,53.26,22089.49,22090.49,0
