segmentId_DB,ChildID,Age_months_actual,filename,Starttime,Endtime,Major_Choice,Num_Agreement
5834.DB1,1111_1,53.26,20181207_134922_025481,6258.94,6259.54,Non-canonical syllables,3
4176.DB1,1111_1,53.26,20181207_134922_025481,6298.22,6298.82,Don't mark,2
4373.DB1,1111_1,53.26,20181207_134922_025481,6328.29,6328.91,Non-canonical syllables,3
4982.DB1,1111_1,53.26,20181207_134922_025481,6356.08,6357,Non-canonical syllables,3
5543.DB1,1111_1,53.26,20181207_134922_025481,6368.55,6369.57,Don't mark,3
6479.DB1,1111_1,53.26,20181207_134922_025481,6372.85,6374.02,Non-canonical syllables,2
2804.DB1,1111_1,53.26,20181207_134922_025481,6374.88,6376.13,Non-canonical syllables,2
3249.DB1,1111_1,53.26,20181207_134922_025481,6384.6,6385.42,None,0
3961.DB1,1111_1,53.26,20181207_134922_025481,6386.37,6386.97,Non-canonical syllables,3
6559.DB1,1111_1,53.26,20181207_134922_025481,6444.32,6444.92,Don't mark,3
5846.DB1,1111_1,53.26,20181207_134922_025481,6546.49,6549.8,Non-canonical syllables,2
4178.DB1,1111_1,53.26,20181207_134922_025481,6561.45,6562.08,Non-canonical syllables,3
5205.DB1,1111_1,53.26,20181207_134922_025481,6562.88,6564.49,Non-canonical syllables,2
4197.DB1,1111_1,53.26,20181207_134922_025481,6612.15,6613.15,Non-canonical syllables,3
6875.DB1,1111_1,53.26,20181207_134922_025481,6629.86,6630.55,Non-canonical syllables,2
4013.DB1,1111_1,53.26,20181207_134922_025481,6631.41,6632.24,Non-canonical syllables,3
5896.DB1,1111_1,53.26,20181207_134922_025481,6646.19,6647.25,Non-canonical syllables,3
6891.DB1,1111_1,53.26,20181207_134922_025481,6652.42,6653.02,Don't mark,2
7116.DB1,1111_1,53.26,20181207_134922_025481,6664.52,6665.12,Non-canonical syllables,2
7111.DB1,1111_1,53.26,20181207_134922_025481,6667.08,6668.42,Non-canonical syllables,3
5385.DB1,1111_1,53.26,20181207_134922_025481,6673.7,6674.9,Don't mark,2
3438.DB1,1111_1,53.26,20181207_134922_025481,6683.75,6685.53,Non-canonical syllables,2
6973.DB1,1111_1,53.26,20181207_134922_025481,6691.55,6692.71,Non-canonical syllables,3
5016.DB1,1111_1,53.26,20181207_134922_025481,6730.65,6731.82,Non-canonical syllables,2
4306.DB1,1111_1,53.26,20181207_134922_025481,6738.99,6739.68,None,0
5292.DB1,1111_1,53.26,20181207_134922_025481,6772.55,6774.19,Don't mark,2
5530.DB1,1111_1,53.26,20181207_134922_025481,6789.15,6789.97,Non-canonical syllables,2
6715.DB1,1111_1,53.26,20181207_134922_025481,8057.12,8057.92,Non-canonical syllables,2
5798.DB1,1111_1,53.26,20181207_134922_025481,8068.13,8069.13,Don't mark,3
5811.DB1,1111_1,53.26,20181207_134922_025481,8076.49,8077.09,None,0
6642.DB1,1111_1,53.26,20181207_134922_025481,8086.64,8087.28,Don't mark,2
6074.DB1,1111_1,53.26,20181207_134922_025481,8095.17,8095.8,None,0
2901.DB1,1111_1,53.26,20181207_134922_025481,8117.7,8118.3,Non-canonical syllables,2
5351.DB1,1111_1,53.26,20181207_134922_025481,8123.28,8125.41,Non-canonical syllables,2
5576.DB1,1111_1,53.26,20181207_134922_025481,8132.68,8133.31,Non-canonical syllables,3
3927.DB1,1111_1,53.26,20181207_134922_025481,8139.08,8140.26,Non-canonical syllables,3
3113.DB1,1111_1,53.26,20181207_134922_025481,8142.92,8143.53,Non-canonical syllables,3
