"","segmentId_DB","Answer","ChildID","Age_months_actual","filename","Starttime","Endtime","Major_Choice","Num_Agreement"
"1","1000.DB2","Non-Canonical","3491_7",16.26,"20180808_111325_024882",23591.74,23593.47,"Canonical syllables",2
"2","10000.DB1","Junk","1801_1",44.42,"20190104_125104_022872",613.39,614.41,"Don't mark",3
"3","10004.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",36273.57,36274.17,"Non-canonical syllables",2
"4","10005.DB1","Laughing","1801_1",44.42,"20190104_125104_022872",10692.02,10692.98,"Canonical syllables",2
"5","10008.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",8588.39,8589.37,"Non-canonical syllables",3
"6","10009.DB1","Junk","2881_1",46.85,"20181207_135236_025482",46791.38,46792.38,"Don't mark",3
"7","10010.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",32050.09,32050.87,"Non-canonical syllables",3
"8","10015.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",15216.46,15217.16,"Don't mark",2
"9","10017.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",45986.49,45987.09,"Non-canonical syllables",3
"10","1002.DB2","Canonical","3491_7",16.26,"20180808_111325_024882",36231.5,36232.79,"Non-canonical syllables",2
"11","10024.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",36231.93,36233.53,"Non-canonical syllables",2
"12","10031.DB1","","3831_1",44.52,"20190207_135236_024882",34508.62,34509.28,"Non-canonical syllables",3
"13","10034.DB1","Junk","2881_1",46.85,"20181207_135236_025482",48964.85,48965.59,"Don't mark",3
"14","10039.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",5958.86,5959.46,"Non-canonical syllables",3
"15","10040.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",8676.83,8677.85,"Non-canonical syllables",3
"16","10043.DB1","Crying","2881_1",46.85,"20181207_135236_025482",39847.64,39848.26,"Non-canonical syllables",2
"17","10048.DB1","Junk","3831_1",44.52,"20190207_135236_024882",40243.76,40244.75,"None",0
"18","10049.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",34747.75,34748.38,"Non-canonical syllables",2
"19","10052.DB1","Junk","1801_1",44.42,"20190104_125104_022872",13134.25,13135.1,"Don't mark",3
"20","10055.DB1","Canonical","3831_1",44.52,"20190207_135236_024882",24690.12,24691.29,"Don't mark",2
"21","10056.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",699.19,700.42,"None",0
"22","10057.DB1","Junk","1801_1",44.42,"20190104_125104_022872",10603.23,10604.56,"Don't mark",3
"23","10066.DB1","Junk","1801_1",44.42,"20190104_125104_022872",42418.48,42420.38,"Don't mark",3
"24","10067.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",39293.55,39294.42,"Non-canonical syllables",3
"25","1007.DB2","Canonical","3491_7",16.26,"20180808_111325_024882",504.47,505.38,"Canonical syllables",3
"26","10071.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",16535.65,16536.67,"Non-canonical syllables",3
"27","10076.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",34778.58,34779.46,"Non-canonical syllables",2
"28","10083.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",26965.53,26966.13,"Non-canonical syllables",3
"29","10084.DB1","Junk","3831_1",44.52,"20190207_135236_024882",14501.28,14501.88,"Canonical syllables",2
"30","10088.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",2140.15,2140.82,"Non-canonical syllables",3
"31","1009.DB2","Non-Canonical","3491_7",16.26,"20180808_111325_024882",384.58,385.81,"Non-canonical syllables",2
"32","10093.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",36308.06,36308.72,"Non-canonical syllables",3
"33","10098.DB1","Junk","1801_1",44.42,"20190104_125104_022872",5628.67,5629.33,"Don't mark",3
"34","10099.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",36243.46,36244.21,"Non-canonical syllables",3
"35","1010.DB2","Non-Canonical","3491_7",16.26,"20180808_111325_024882",29756.89,29757.5,"Non-canonical syllables",2
"36","10100.DB1","Laughing","1801_1",44.42,"20190104_125104_022872",7469.13,7470.17,"Laughing",3
"37","10103.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",43523.67,43524.27,"Non-canonical syllables",3
"38","10104.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",41976.52,41977.12,"Non-canonical syllables",3
"39","10107.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",20092.69,20093.87,"Non-canonical syllables",3
"40","10109.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",28250.85,28252.03,"Non-canonical syllables",3
"41","10113.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",4193.21,4194.3,"Don't mark",2
"42","10115.DB1","Canonical","1801_1",44.42,"20190104_125104_022872",10600.82,10601.67,"Don't mark",3
"43","10116.DB1","Junk","1801_1",44.42,"20190104_125104_022872",42556.79,42557.39,"Don't mark",3
"44","10117.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",27575.69,27577.47,"Non-canonical syllables",2
"45","1012.DB2","Crying","3491_7",16.26,"20180808_111325_024882",6070.88,6071.7,"Non-canonical syllables",3
"46","10128.DB1","Laughing","1801_1",44.42,"20190104_125104_022872",11538.64,11539.68,"Non-canonical syllables",2
"47","10131.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",13893.87,13895.35,"Non-canonical syllables",3
"48","10133.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",856.28,857.83,"Don't mark",3
"49","10134.DB1","Junk","2881_1",46.85,"20181207_135236_025482",36364.13,36365.45,"Don't mark",3
"50","10136.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",2191.38,2192.18,"Don't mark",3
"51","10140.DB1","Non-Canonical","1801_1",44.42,"20190104_125104_022872",1508.65,1510.09,"Don't mark",2
"52","10144.DB1","Crying","2881_1",46.85,"20181207_135236_025482",39883.47,39884.19,"Non-canonical syllables",3
"53","1015.DB2","Junk","3491_7",16.26,"20180808_111325_024882",5881.37,5882.14,"Non-canonical syllables",2
"54","10150.DB1","","2881_1",46.85,"20181207_135236_025482",31518.28,31519.26,"Non-canonical syllables",2
"55","10152.DB1","Junk","1801_1",44.42,"20190104_125104_022872",20797.26,20798.26,"Don't mark",3
"56","10154.DB1","Non-Canonical","2881_1",46.85,"20181207_135236_025482",46851.23,46851.83,"Non-canonical syllables",2
"57","10156.DB1","Non-Canonical","3831_1",44.52,"20190207_135236_024882",39622.92,39624.61,"Non-canonical syllables",3
