"","itsId","recId","blkId","blkTypeId","segId","blkType","spkr","startTime","endTime","startClockTime","endClockTime","startClockTimeLocal","endClockTimeLocal","average_dB","peak_dB","recordingInfo","childCryVfxLen","childUttCnt","childUttLen","endCry1","startCry1","conversationInfo","convStatus","convCount","convTurnCount","convResponseCount","convType","convTurnType","convFloorType","femaleAdultNonSpeechLen","femaleAdultUttCnt","femaleAdultUttLen","femaleAdultWordCnt","endUtt1","startUtt1","maleAdultNonSpeechLen","maleAdultUttCnt","maleAdultUttLen","maleAdultWordCnt","endVfx1","startVfx1","endUtt2","startUtt2","endUtt3","startUtt3","endCry2","startCry2"
"1","20190819_210631_022870",1,1,1,1,"Pause","SIL",0,0.8,2019-08-14 12:50:07,2019-08-14 12:50:07,2019-08-14 08:50:07,2019-08-14 08:50:07,-47.67,-44.2,"|BR|1|20190814|125007|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","20190819_210631_022870",1,1,1,2,"Pause","NOF",0.8,2.57,2019-08-14 12:50:07,2019-08-14 12:50:09,2019-08-14 08:50:07,2019-08-14 08:50:09,-26.56,-5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","20190819_210631_022870",1,1,1,3,"Pause","CHN",2.57,3.2,2019-08-14 12:50:09,2019-08-14 12:50:10,2019-08-14 08:50:09,2019-08-14 08:50:10,-16.18,-6.71,NA,0.45,0,0,"PT3.02S","PT2.57S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","20190819_210631_022870",1,1,1,4,"Pause","NOF",3.2,5.81,2019-08-14 12:50:10,2019-08-14 12:50:12,2019-08-14 08:50:10,2019-08-14 08:50:12,-38.71,-15.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","20190819_210631_022870",1,1,1,5,"Pause","SIL",5.81,8.16,2019-08-14 12:50:12,2019-08-14 12:50:15,2019-08-14 08:50:12,2019-08-14 08:50:15,-50.31,-45.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","20190819_210631_022870",1,1,1,6,"Pause","FAF",8.16,9.72,2019-08-14 12:50:15,2019-08-14 12:50:16,2019-08-14 08:50:15,2019-08-14 08:50:16,-49.54,-46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","20190819_210631_022870",1,1,1,7,"Pause","SIL",9.72,10.52,2019-08-14 12:50:16,2019-08-14 12:50:17,2019-08-14 08:50:16,2019-08-14 08:50:17,-50.52,-47.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","20190819_210631_022870",1,1,1,8,"Pause","NOF",10.52,18.05,2019-08-14 12:50:17,2019-08-14 12:50:25,2019-08-14 08:50:17,2019-08-14 08:50:25,-24,-2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","20190819_210631_022870",1,1,1,9,"Pause","OLF",18.05,19.1,2019-08-14 12:50:25,2019-08-14 12:50:26,2019-08-14 08:50:25,2019-08-14 08:50:26,-24.07,-9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","20190819_210631_022870",1,1,1,10,"Pause","NOF",19.1,37.28,2019-08-14 12:50:26,2019-08-14 12:50:44,2019-08-14 08:50:26,2019-08-14 08:50:44,-31.72,-7.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
